rank,company,ticker,country,sector,sector_group,company_stage,norm_mode,esg_score_today,e_momentum,s_momentum,g_momentum,i_momentum,w_E,w_S,w_G,w_I,say_do_gap,say_do_confidence,value_gap,momentum_score,quadrant,weight_rationale
1,Sea Limited,SE,Singapore,Technology,Digital,High-Growth/Scaling,sector,44.6,36.6,75.3,83.0,76.9,0.1,0.38,0.27,0.25,0.005,unverified,0.109,78.8,Hidden Winners,"No material footprint. The real risks are labour practice, data handling and founder control, and at this stage innovation genuinely is the moat."
2,FPT Corporation,FPT,Vietnam,Technology,Digital,High-Growth/Scaling,sector,50.0,67.2,68.3,66.1,90.6,0.1,0.38,0.27,0.25,0.0,unverified,0.022,78.3,Hidden Winners,"No material footprint. The real risks are labour practice, data handling and founder control, and at this stage innovation genuinely is the moat."
3,Pertamina Geothermal,PGEO,Indonesia,Energy,Carbon-Intensive,High-Growth/Scaling,sector,60.0,77.5,69.3,71.1,41.2,0.45,0.2,0.25,0.1,0.269,unverified,0.391,73.8,Future Leaders,"Same E dominance, but a scaling asset-heavy firm is still choosing its capex mix, so governance of that choice carries slightly more."
4,Techcombank,TCB,Vietnam,Financial Services,Financial,High-Growth/Scaling,sector,58.0,63.6,72.7,69.2,60.4,0.12,0.26,0.4,0.22,0.0,unverified,0.457,72.9,Hidden Winners,"A scaling lender lives or dies on digital distribution, so innovation is load-bearing rather than decorative, funded partly out of the G weight."
5,Vinamilk,VNM,Vietnam,Consumer Defensive,Consumer,Mature/Established,sector,62.7,72.2,69.8,64.6,59.7,0.3,0.34,0.26,0.1,0.226,unverified,0.043,72.4,Future Leaders,"The supply chain sits in both E and S — land use, sourcing, labour — and that is where consumer-facing scandals actually originate."
6,Gemadept,GMD,Vietnam,Industrials,Industrial,High-Growth/Scaling,sector,56.7,69.5,73.0,71.1,34.3,0.3,0.3,0.25,0.15,0.0,unverified,0.196,70.9,Hidden Winners,"Balanced E and S as above, with more room for innovation because a scaling operator is still choosing its process technology."
7,Siloam Hospitals,SILO,Indonesia,Healthcare,Health,High-Growth/Scaling,sector,61.0,64.8,71.4,69.6,39.4,0.1,0.44,0.28,0.18,0.0,unverified,0.043,70.4,Future Leaders,"Same S dominance, with innovation up because a scaling health firm is still proving its product pipeline."
8,Gulf Energy Development,GULF.BK,Thailand,Utilities,Carbon-Intensive,High-Growth/Scaling,sector,64.0,70.1,66.0,61.9,41.9,0.45,0.2,0.25,0.1,0.163,unverified,0.065,67.8,Future Leaders,"Same E dominance, but a scaling asset-heavy firm is still choosing its capex mix, so governance of that choice carries slightly more."
9,Siam Cement (SCG),SCC.BK,Thailand,Basic Materials,Carbon-Intensive,Mature/Established,sector,66.0,67.7,65.7,62.6,65.3,0.5,0.18,0.24,0.08,0.45,unverified,0.696,67.7,Future Leaders,"The energy transition IS the investment case here, so the emissions trend outweighs everything else; AI adoption is a rounding error on a refinery."
10,GoTo Group,GOTO,Indonesia,Technology,Digital,High-Growth/Scaling,sector,43.0,60.3,64.3,76.6,53.6,0.1,0.38,0.27,0.25,0.06,unverified,0.457,67.4,Hidden Winners,"No material footprint. The real risks are labour practice, data handling and founder control, and at this stage innovation genuinely is the moat."
11,Sembcorp Industries,U96,Singapore,Utilities,Carbon-Intensive,Mature/Established,sector,71.0,76.0,58.4,55.0,77.9,0.5,0.18,0.24,0.08,0.384,unverified,0.109,67.0,Future Leaders,"The energy transition IS the investment case here, so the emissions trend outweighs everything else; AI adoption is a rounding error on a refinery."
12,B.Grimm Power,BGRIM.BK,Thailand,Utilities,Carbon-Intensive,High-Growth/Scaling,sector,60.0,68.7,62.0,59.7,32.2,0.45,0.2,0.25,0.1,0.086,unverified,0.13,66.2,Future Leaders,"Same E dominance, but a scaling asset-heavy firm is still choosing its capex mix, so governance of that choice carries slightly more."
